; Date generated Fri Oct 22 16:44:17 2021
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
;  Applied 1-AU adjustment 0.985890
; 
;  Solar zenith angle (deg) 31.0500
; 
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
;  MEGS-A2 used 2017 140MeV
; 
; Version 1_0
; 
;  Day of year=252
;  Lyman-alpha composite v4=6.48e-3 W/m^2
; 
;  F10=101.100, <F10>81day=88.0000
; 
; MEGS-A Slit 1 to slit 2 crossover occurs at 14.93nm
; MEGS-A Slit 2 to MEGS-B crossover occurs at 37.0000nm
; 
; 
The flight profile from 36.336 was used since it is not available for this flight.
; 
; 
FORMAT = (f7.3,e13.6,f7.3)
 4950 lines
 3 columns : wavelength (nm), irradiance (W/m^2/nm), relative uncertainty (fraction)
  6.000 2.521662e-05  0.239
  6.020 5.582447e-05  0.146
  6.040 6.636805e-05  0.145
  6.060 7.319599e-05  0.133
  6.080 7.820302e-05  0.111
  6.100 7.350713e-05  0.114
  6.120 6.740212e-05  0.124
  6.140 6.555638e-05  0.118
  6.160 6.056951e-05  0.120
  6.180 5.863929e-05  0.115
  6.200 5.845321e-05  0.113
  6.220 6.630848e-05  0.102
  6.240 7.604151e-05  0.102
  6.260 8.323498e-05  0.104
  6.280 8.716350e-05  0.109
  6.300 8.480292e-05  0.105
  6.320 7.630357e-05  0.102
  6.340 6.654346e-05  0.100
