; UNCLASSIFIED PASS 1, T-ZERO = 62700.3100, AZFIRE =  14.300 DEG T/N, 09SEP21, 36.353 WOODS L738,
;                     TYPE 1 RECORD DATA WORDS AND UNITS
;               WORD 1		ELAPSED TIME FROM LAUNCH        MILLISECONDS
;               WORD 2		X SMOOTHED (XS)                 CENTIMETERS
;               WORD 3		Y SMOOTHED (XS)	                CENTIMETERS
;               WORD 4		Z SMOOTHED (XS)	                CENTIMETERS
;               WORD 5		SLANT RANGE FROM RADAR          CENTIMETERS
;               WORD 6		AZIMUTH FROM RADAR	        10-7 RADIANS
;               WORD 7	        ELEVATION FROM RADAR	        10-7 RADIANS
;               WORD 8		GEODETIC LATITUDE	        10-7 RADIANS
;               WORD 9		WEST LONGITUDE	                10-7 RADIANS
;               WORD 10		HEIGHT ABOVE MEAN SEA LEVEL     CENTIMETERS
;
17020 lines:  NASA 36.353 Radar data for Sept 9 launch at 17:25:00 UT
10 columns:  See header for definitions of data
      10200.    28464.   -11180.   393439. 10139945.-29502912.   295590.  5658460. 18556322.   516620.
      10250.    28638.   -11175.   395990. 10139889.-29502928.   298111.  5658462. 18556322.   519171.
      10300.    28811.   -11162.   398539. 10139834.-29502948.   300631.  5658465. 18556320.   521720.
      10350.    28983.   -11144.   401088. 10139783.-29502978.   303150.  5658468. 18556320.   524270.
      10400.    29154.   -11121.   403637. 10139730.-29503012.   305668.  5658470. 18556318.   526818.
      10450.    29326.   -11095.   406185. 10139680.-29503048.   308186.  5658472. 18556316.   529366.
      10500.    29493.   -11067.   408733. 10139634.-29503084.   310704.  5658475. 18556314.   531914.
      10550.    29662.   -11039.   411280. 10139588.-29503124.   313221.  5658478. 18556314.   534461.
      10600.    29830.   -11010.   413827. 10139541.-29503162.   315738.  5658480. 18556312.   537008.
      10650.    29997.   -10981.   416374. 10139500.-29503198.   318254.  5658482. 18556312.   539555.
      10700.    30164.   -10952.   418920. 10139457.-29503238.   320771.  5658484. 18556310.   542101.
      10750.    30330.   -10925.   421467. 10139416.-29503274.   323288.  5658487. 18556308.   544648.
      10800.    30491.   -10898.   424014. 10139380.-29503310.   325805.  5658490. 18556308.   547196.
      10850.    30656.   -10873.   426562. 10139341.-29503346.   328322.  5658492. 18556308.   549743.
      10900.    30818.   -10848.   429109. 10139305.-29503378.   330839.  5658494. 18556306.   552290.
      10950.    30980.   -10825.   431656. 10139271.-29503412.   333355.  5658496. 18556304.   554837.
      11000.    31142.   -10804.   434201. 10139237.-29503444.   335870.  5658499. 18556302.   557382.
      11050.    31303.   -10784.   436744. 10139204.-29503470.   338383.  5658502. 18556302.   559925.
      11100.    31465.   -10766.   439283. 10139170.-29503500.   340892.  5658504. 18556300.   562464.
